ID,Letter,Word_Class,Vietnamese_Meaning,IPA,Verb_Structure_Collocation,Example,Vietnamese_Explanation
13,in,Preposition,trong,/ɪn/,in history/in the past,The invention of the printing press was a groundbreaking event in the history of communication. (Việc phát minh ra máy in là một sự kiện đột phá trong lịch sử truyền thông.),"Trong đoạn văn, ""in"" được sử dụng để chỉ phạm vi thời gian, lịch sử mà sự so sánh được thực hiện, ở đây là ""lịch sử của các đại dương""."
14,the,Determiner,,/ðə/ or /ðiː/,the + Noun,"The history of the oceans is long and complex, shaped by geological processes, climate change, and human activities. (Lịch sử của các đại dương rất dài và phức tạp, được định hình bởi các quá trình địa chất, biến đổi khí hậu và hoạt động của con người.)","Trong đoạn văn, ""the"" được sử dụng trước một danh từ đã được xác định hoặc được hiểu ngầm trong ngữ cảnh, ở đây là ""history of the oceans""."
15,history,Noun,lịch sử,/ˈhɪstri/,the history of something,The study of history can provide insights into present-day challenges. (Nghiên cứu lịch sử có thể cung cấp những hiểu biết sâu sắc về những thách thức ngày nay.),"Trong đoạn văn, ""history"" được sử dụng để chỉ quá trình phát triển, tồn tại của các đại dương từ trước đến nay."
16,of,Preposition,của,/əv/ hoặc /ʌv/,,The overexploitation of natural resources is a recurring theme in human history. (Việc khai thác quá mức tài nguyên thiên nhiên là một chủ đề lặp đi lặp lại trong lịch sử nhân loại.),"Trong đoạn văn, ""of"" được sử dụng để chỉ sự sở hữu, mối quan hệ giữa danh từ ""history"" và ""oceans"", lịch sử thuộc về các đại dương."
17,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The world's oceans play a vital role in regulating climate and supporting a vast array of life. (Các đại dương trên thế giới đóng một vai trò quan trọng trong việc điều hòa khí hậu và hỗ trợ sự sống của một loạt các sinh vật.),"Trong đoạn văn, ""the"" được sử dụng trước một danh từ đã được xác định hoặc được hiểu ngầm trong ngữ cảnh, ở đây là ""oceans""."
18,oceans,Noun,đại dương,/ˈoʊʃənz/,,Pollution from land-based sources is a major threat to ocean health. (Ô nhiễm từ các nguồn trên đất liền là mối đe dọa lớn đối với sức khỏe đại dương.),"Trong đoạn văn, ""oceans"" được sử dụng để chỉ toàn bộ vùng nước mặn bao phủ phần lớn bề mặt Trái Đất."
19,and,Conjunction,và,/ænd/,,Climate change and ocean acidification are two major threats to marine ecosystems. (Biến đổi khí hậu và axit hóa đại dương là hai mối đe dọa lớn đối với hệ sinh thái biển.),"Trong đoạn văn, ""and"" là một liên từ kết hợp, được sử dụng để nối hai mệnh đề có quan hệ ngang bằng về ngữ nghĩa."
20,modern,Adjective,hiện đại,/ˈmɑːdərn/,modern technology/modern art,"Modern fishing gear, such as sonar and GPS, has made it easier to locate and catch fish. (Ngư cụ hiện đại, chẳng hạn như sonar và GPS, đã giúp việc định vị và đánh bắt cá trở nên dễ dàng hơn.)","Trong đoạn văn, ""modern"" được sử dụng để phân biệt với công nghệ đánh bắt cá trong quá khứ,  nhấn mạnh sự tiên tiến và hiệu quả của công nghệ hiện tại."
21,fishing,Noun,đánh bắt cá,/ˈfɪʃɪŋ/,fishing rod/fishing net,Advances in fishing technology have led to increased catches but also greater pressure on fish stocks. (Những tiến bộ trong công nghệ đánh bắt đã dẫn đến sản lượng đánh bắt tăng lên nhưng cũng gây áp lực lớn hơn đối với trữ lượng cá.),"Trong đoạn văn, ""fishing"" được sử dụng kết hợp với ""technologies"" để chỉ công nghệ được sử dụng trong hoạt động đánh bắt cá."
22,technologies,Noun,công nghệ,/tɛkˈnɑːlədʒiz/,fishing technologies/modern technologies,The use of unsustainable fishing technologies is a major contributor to overfishing. (Việc sử dụng các công nghệ đánh bắt không bền vững là một trong những nguyên nhân chính dẫn đến đánh bắt quá mức.),"Trong đoạn văn, ""technologies"" được sử dụng để chỉ tập hợp các phương pháp, kỹ thuật và thiết bị được sử dụng trong ngành đánh bắt cá."
23,leave,Verb,"khiến cho, để lại",/liːv/,leave someone with no choice/option,The economic crisis left many families with no choice but to sell their homes. (Cuộc khủng hoảng kinh tế khiến nhiều gia đình không còn lựa chọn nào khác ngoài việc bán nhà.),"Trong đoạn văn, ""leave"" được sử dụng với cấu trúc ""leave someone/something with no choice/option/alternative"" để miêu tả tình trạng không còn lựa chọn nào khác của cá do công nghệ đánh bắt hiện đại."
24,fish,Noun,cá,/fɪʃ/,catch a fish,The overexploitation of certain fish species can disrupt entire marine ecosystems. (Việc khai thác quá mức một số loài cá nhất định có thể phá vỡ toàn bộ hệ sinh thái biển.),"Trong đoạn văn, ""fish"" được sử dụng để chỉ các loài cá nói chung, là đối tượng bị ảnh hưởng bởi công nghệ đánh bắt hiện đại."
25,no,Determiner,không,/noʊ/,no + Noun,There is no excuse for illegal fishing practices that harm marine life. (Không có lý do gì bào chữa cho các hoạt động đánh bắt cá bất hợp pháp gây hại cho sinh vật biển.),"Trong đoạn văn, ""no"" được sử dụng trước một danh từ để phủ định hoàn toàn sự tồn tại của danh từ đó, ở đây là ""place to hide""."
26,place,Noun,"nơi, chỗ",/pleɪs/,a safe place/find a place,Coastal habitats provide important breeding and feeding grounds for many fish species. (Môi trường sống ven biển cung cấp các bãi đẻ và kiếm ăn quan trọng cho nhiều loài cá.),"Trong đoạn văn, ""place"" được sử dụng để chỉ một vị trí, địa điểm cụ thể, ở đây là nơi ẩn náu của cá."
27,to,Preposition,để,/tuː/ hoặc /tə/,in order to/so as to,Marine protected areas can provide a refuge for fish to breed and grow. (Các khu bảo tồn biển có thể cung cấp nơi trú ẩn cho cá sinh sản và phát triển.),"Trong đoạn văn, ""to"" được sử dụng trước động từ nguyên mẫu ""hide"" để chỉ mục đích."
28,hide,Verb,ẩn náu,/haɪd/,hide from someone/something,Some fish species have evolved camouflage mechanisms to help them hide from predators. (Một số loài cá đã tiến hóa các cơ chế ngụy trang để giúp chúng ẩn náu khỏi những kẻ săn mồi.),"Trong đoạn văn, ""hide"" được sử dụng để miêu tả hành động tìm kiếm nơi trú ẩn, bảo vệ bản thân của cá khỏi nguy hiểm, ở đây là hoạt động đánh bắt."
1,Today,Adverb,Ngày nay,/təˈdeɪ/,,"Today, we are facing the consequences of overfishing, a problem that was largely ignored in the past. (Ngày nay, chúng ta đang phải đối mặt với những hậu quả của việc đánh bắt quá mức, một vấn đề đã bị phớt lờ phần lớn trong quá khứ.)","Trong đoạn văn, ""today"" được sử dụng để chỉ thời điểm hiện tại, so sánh với quá khứ khi tình trạng đánh bắt cá khác biệt."
2,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The government plays a crucial role in establishing and managing protected areas. (Chính phủ đóng vai trò quan trọng trong việc thiết lập và quản lý các khu bảo tồn.),"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể đã được xác định hoặc được hiểu ngầm, ở đây là ""refuges from fishing""."
3,only,Adjective,duy nhất,/ˈoʊnli/,the only + Noun,The only way to prevent further damage to the ocean is through sustainable fishing practices. (Cách duy nhất để ngăn chặn thiệt hại thêm cho đại dương là thông qua các hoạt động đánh bắt bền vững.),"Trong đoạn văn, ""only"" được sử dụng để nhấn mạnh rằng chỉ có những nơi trú ẩn được tạo ra một cách có chủ ý mới có thể bảo vệ cá khỏi hoạt động đánh bắt."
4,refuges,Noun,nơi trú ẩn,/ˈrɛfjuːdʒɪz/,seek refuge/provide refuge,"Marine reserves act as refuges for fish populations, allowing them to recover and thrive. (Các khu bảo tồn biển hoạt động như những nơi trú ẩn cho quần thể cá, cho phép chúng phục hồi và phát triển.)","Trong đoạn văn, ""refuges"" được sử dụng để chỉ những khu vực an toàn, nơi cá có thể tránh khỏi hoạt động đánh bắt."
5,from,Preposition,khỏi,/frʌm/,protection from something/safe from something,International cooperation is essential to protect marine life from the threats of pollution and climate change. (Hợp tác quốc tế là điều cần thiết để bảo vệ sinh vật biển khỏi các mối đe dọa từ ô nhiễm và biến đổi khí hậu.),"Trong đoạn văn, ""from"" được sử dụng sau danh từ ""refuges"" để chỉ nguồn gốc của sự an toàn, ở đây là sự an toàn khỏi hoạt động đánh bắt cá."
6,fishing,Noun,đánh bắt cá,/ˈfɪʃɪŋ/,go fishing/fishing industry,"The impact of fishing on marine ecosystems can be significant, particularly when practices are unsustainable. (Tác động của hoạt động đánh bắt cá đối với hệ sinh thái biển có thể rất đáng kể, đặc biệt là khi các hoạt động này không bền vững.)","Trong đoạn văn, ""fishing"" được sử dụng để chỉ hoạt động đánh bắt cá nói chung."
7,are,Verb be,là,/ɑːr/,,Protected areas are essential for the conservation of marine biodiversity. (Các khu bảo tồn rất cần thiết cho việc bảo tồn đa dạng sinh học biển.),"Trong đoạn văn, ""are"" là động từ to be ở thì hiện tại, được sử dụng để liên kết chủ ngữ ""the only refuges from fishing"" với vị ngữ ""those we deliberately create""."
8,those,Determiner,những,/ðoʊz/,,International agreements can help to ensure that fishing quotas are set at sustainable levels. (Các thỏa thuận quốc tế có thể giúp đảm bảo rằng hạn ngạch đánh bắt được đặt ở mức bền vững.),"Trong đoạn văn, ""those"" được sử dụng để thay thế cho danh từ ""refuges"" đã được đề cập trước đó, tránh lặp từ."
9,we,Pronoun,chúng ta,/wiː/,,We must act now to address the challenges facing our oceans. (Chúng ta phải hành động ngay bây giờ để giải quyết những thách thức mà đại dương của chúng ta đang phải đối mặt.),"Trong đoạn văn, ""we"" được sử dụng để chỉ con người nói chung, những người có trách nhiệm trong việc tạo ra các khu vực bảo tồn biển."
10,deliberately,Adverb,một cách có chủ ý,/dɪˈlɪbərətli/,deliberately + Verb,Governments must work together to deliberately reduce pollution and protect marine habitats. (Các chính phủ phải hợp tác với nhau để cố tình giảm thiểu ô nhiễm và bảo vệ môi trường sống biển.),"Trong đoạn văn, ""deliberately"" được sử dụng để nhấn mạnh rằng việc tạo ra các khu vực bảo tồn biển là một hành động có ý thức, có kế hoạch, nhằm bảo vệ cá và hệ sinh thái biển."
11,create,Verb,tạo ra,/kriˈeɪt/,create something,We have a responsibility to create a more sustainable future for our oceans. (Chúng ta có trách nhiệm tạo ra một tương lai bền vững hơn cho các đại dương của chúng ta.),"Trong đoạn văn, ""create"" được sử dụng để chỉ hành động thiết lập, hình thành các khu vực bảo tồn biển."
1,Unhappily,Adverb,Không may là,/ʌnˈhæpɪli/,,"Unhappily, many marine species are facing extinction due to overfishing and habitat destruction. (Không may là, nhiều loài sinh vật biển đang phải đối mặt với nguy cơ tuyệt chủng do đánh bắt quá mức và mất môi trường sống.)","Trong đoạn văn, ""unhappily"" được sử dụng để diễn tả sự tiếc nuối,  không hài lòng về  tình trạng bảo vệ biển hiện nay."
2,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The government has implemented stricter regulations to protect endangered species. (Chính phủ đã thực hiện các quy định nghiêm ngặt hơn để bảo vệ các loài có nguy cơ tuyệt chủng.),"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể đã được xác định hoặc được hiểu ngầm, ở đây là ""sea""."
3,sea,Noun,biển,/siː/,,The sea plays a vital role in regulating the Earth's climate. (Biển đóng một vai trò quan trọng trong việc điều hòa khí hậu Trái Đất.),"Trong đoạn văn, ""sea"" được sử dụng để chỉ môi trường biển nói chung."
4,trails,Verb,"chậm hơn, tụt hậu",/treɪlz/,trail behind someone/something,Developing countries often trail behind developed countries in terms of technological advancements. (Các nước đang phát triển thường tụt hậu so với các nước phát triển về tiến bộ công nghệ.),"Trong đoạn văn, ""trails"" được sử dụng để so sánh sự phát triển, tiến độ của việc bảo vệ biển so với đất liền,  chỉ ra  biển  đang bị  bỏ lại phía sau."
5,far,Adverb,xa,/fɑːr/,far behind/far away,The company's profits are far below expectations this quarter. (Lợi nhuận của công ty thấp hơn nhiều so với kỳ vọng trong quý này.),"Trong đoạn văn, ""far"" được sử dụng để nhấn mạnh mức độ  chậm trễ,  kém phát triển của  hoạt động bảo vệ biển so với đất liền."
6,behind,Preposition,phía sau,/bɪˈhaɪnd/,behind schedule/fall behind,The project is already several weeks behind schedule. (Dự án đã bị chậm tiến độ vài tuần.),"Trong đoạn văn, ""behind"" được sử dụng trong cụm từ ""trails far behind""  để so sánh  mức độ bảo vệ  của biển  so với  đất liền."
7,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The conservation of forests is essential for mitigating climate change. (Việc bảo tồn rừng là điều cần thiết để giảm thiểu biến đổi khí hậu.),"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể đã được xác định hoặc được hiểu ngầm, ở đây là ""land""."
8,land,Noun,đất liền,/lænd/,,Governments need to prioritize both land and marine conservation efforts. (Chính phủ cần ưu tiên cả nỗ lực bảo tồn đất liền và biển.),"Trong đoạn văn, ""land"" được sử dụng để chỉ môi trường đất liền, đối lập với môi trường biển."
9,in,Preposition,"về, trong",/ɪn/,in terms of something,The two companies are very similar in terms of their size and market share. (Hai công ty rất giống nhau về quy mô và thị phần.),"Trong đoạn văn, ""in terms of"" là một cụm từ được sử dụng để giới hạn phạm vi so sánh giữa biển và đất liền, ở đây là về ""diện tích và chất lượng bảo vệ""."
10,terms,Noun,phương diện,/tɜːrmz/,in terms of something,The new policy has been successful in terms of reducing unemployment. (Chính sách mới đã thành công trong việc giảm tỷ lệ thất nghiệp.),"Trong đoạn văn, ""terms"" được sử dụng trong cụm từ ""in terms of"" để chỉ khía cạnh, tiêu chí so sánh."
11,of,Preposition,của,/əv/ hoặc /ʌv/,,The protection of natural resources is essential for the well-being of future generations. (Việc bảo vệ tài nguyên thiên nhiên là điều cần thiết cho sự thịnh vượng của các thế hệ tương lai.),"Trong đoạn văn, ""of"" được sử dụng để chỉ sự sở hữu, mối liên hệ giữa danh từ ""terms"" và cụm danh từ ""the area and the quality of protection given""."
12,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The government has designated a large portion of the forest as a national park. (Chính phủ đã chỉ định một phần lớn diện tích rừng là vườn quốc gia.),"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể đã được xác định hoặc được hiểu ngầm, ở đây là ""area""."
13,area,Noun,diện tích,/ˈeriə/,a large area/cover a wide area,The establishment of marine protected areas is crucial for the conservation of marine biodiversity. (Việc thành lập các khu bảo tồn biển là rất quan trọng đối với việc bảo tồn đa dạng sinh học biển.),"Trong đoạn văn, ""area"" được sử dụng để chỉ diện tích của các khu vực được bảo vệ, là một trong những tiêu chí so sánh giữa biển và đất liền."
14,and,Conjunction,và,/ænd/,,"Effective conservation requires a combination of government regulation, community involvement, and scientific research. (Bảo tồn hiệu quả đòi hỏi sự kết hợp giữa quy định của chính phủ, sự tham gia của cộng đồng và nghiên cứu khoa học.)","Trong đoạn văn, ""and"" là một liên từ kết hợp, được sử dụng để nối hai cụm danh từ ""the area"" và ""the quality of protection given"",  cho thấy cả hai đều là tiêu chí so sánh."
15,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The effectiveness of conservation efforts often depends on adequate funding and enforcement. (Hiệu quả của các nỗ lực bảo tồn thường phụ thuộc vào kinh phí và thực thi đầy đủ.),"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể đã được xác định hoặc được hiểu ngầm, ở đây là ""quality of protection given""."
16,quality,Noun,chất lượng,/ˈkwɑːləti/,the quality of something/high quality,The quality of education in a country is a key indicator of its human development. (Chất lượng giáo dục ở một quốc gia là một chỉ số quan trọng về phát triển con người của quốc gia đó.),"Trong đoạn văn, ""quality"" được sử dụng để chỉ mức độ hiệu quả,  toàn diện  của  hoạt động  bảo vệ,  là một trong những tiêu chí so sánh giữa biển và đất liền."
17,of,Preposition,của,/əv/ hoặc /ʌv/,,The conservation of endangered species requires a multifaceted approach. (Việc bảo tồn các loài có nguy cơ tuyệt chủng đòi hỏi một cách tiếp cận đa chiều.),"Trong đoạn văn, ""of"" được sử dụng để chỉ sự sở hữu,  chất lượng (quality)  thuộc về  hoạt động  bảo vệ (protection)."
18,protection,Noun,bảo vệ,/prəˈtɛkʃən/,environmental protection/offer protection,The establishment of national parks is one way to provide protection for natural areas. (Việc thành lập các vườn quốc gia là một cách để bảo vệ các khu vực tự nhiên.),"Trong đoạn văn, ""protection"" được sử dụng để chỉ  các biện pháp,  chính sách  nhằm bảo vệ  môi trường  và  các loài sinh vật, ở đây là  bảo vệ  biển."
19,given,Verb,"được cung cấp, được ban cho",/ˈɡɪvn/,,More resources should be allocated to the protection of marine ecosystems. (Cần phân bổ thêm nguồn lực cho việc bảo vệ hệ sinh thái biển.) ,"Trong đoạn văn, ""given"" được sử dụng ở dạng phân từ quá khứ,  bổ nghĩa cho danh từ ""protection""  và  mang nghĩa  bị động,  chỉ  sự bảo vệ  được  cung cấp."
